GR,FedavgPGD,FedavgPSGD,Fedprox,Feddr,Fedfw_cel,Fedfw_tel
762,0.18810818940401078,0.09548498690128326,0.4021987646818161,0.105087810754776,0.47594585716724397,0.4918228626251221
763,0.18804799169301986,0.09548176005482674,0.4020500063896179,0.10265784710645676,0.4759175717830658,0.4918329656124115
764,0.18798788040876388,0.09547855332493782,0.4019015431404114,0.10809070989489555,0.4758894443511963,0.4918430417776108
765,0.18792788237333297,0.09547534883022309,0.4017533868551254,0.10442212969064713,0.4758613646030426,0.4918530732393265
766,0.18786798864603044,0.09547215551137925,0.4016055166721344,0.10216784551739692,0.4758333444595337,0.49186312556266787
767,0.18780817538499833,0.09546897262334823,0.4014579564332962,0.10407443717122078,0.47580543756484983,0.49187313616275785
768,0.18774847388267518,0.0954657956957817,0.4013106971979141,0.10543056204915047,0.475777605175972,0.4918831706047058
769,0.18768886476755142,0.09546262845396995,0.40116373598575594,0.10437854677438736,0.47574983537197113,0.4918931692838669
770,0.18762936294078827,0.09545947462320328,0.4010170727968216,0.10410008281469345,0.4757222026586533,0.4919032007455826
771,0.187569959461689,0.09545632898807525,0.4008707106113434,0.10550170168280601,0.4756946474313736,0.4919131964445114
772,0.1875106453895569,0.09545319154858589,0.4007246166467667,0.10319567024707794,0.475667205452919,0.4919231325387955
773,0.18745142519474028,0.09545006453990937,0.40057884752750395,0.1053401455283165,0.4756397992372513,0.4919330537319183
774,0.1873923122882843,0.09544694870710373,0.40043332278728483,0.10545199736952782,0.4756124496459961,0.49194296896457673
775,0.1873332902789116,0.09544383808970451,0.4002881497144699,0.11074405536055565,0.4755852460861206,0.49195289611816406
776,0.187274369597435,0.09544073939323425,0.4001432418823242,0.10239864066243172,0.4755580902099609,0.49196280241012574
777,0.18721553683280945,0.09543764889240265,0.3999986290931702,0.09908843860030174,0.4755310118198395,0.49197271168231965
778,0.18715680092573167,0.09543456360697747,0.39985429048538207,0.10253995358943939,0.4755040377378464,0.4919825613498688
779,0.18709816634655,0.09543149322271346,0.3997102648019791,0.1001362919807434,0.4754771739244461,0.4919924259185791
780,0.18703963458538056,0.09542843252420426,0.3995665103197098,0.10220398753881454,0.4754503071308136,0.49200224280357363
781,0.18698118031024932,0.09542537778615952,0.39942304491996766,0.10346456617116928,0.47542359828948977,0.4920120596885681
782,0.1869228333234787,0.09542232826352119,0.39927985668182375,0.1001876287162304,0.4753969132900238,0.49202190339565277
783,0.18686456978321075,0.09541928246617318,0.39913694858551024,0.10125374570488929,0.47537035346031187,0.49203172624111174
