GR FedavgPGD FedavgPSGD Fedprox Feddr Fedfw_cel Fedfw_tel
0 0.24146395267221496 0.7660984658578162 0.15664895217086133 0.11876065376516595 0.20905845783615762 0.2101774791938233
1 0.27269427454126144 0.844710718941141 0.18991878070791138 0.11876065376516595 0.3235937029980949 0.45909756342123736
2 0.33196430361977336 0.8688077810087235 0.21436879574852097 0.11876065376516595 0.24222199939837558 0.3411731675523915
3 0.36847889301113 0.8813797252581972 0.24029279053444297 0.11876065376516595 0.3077549383335005 0.5122209966910658
4 0.4090203549583876 0.8893171563220695 0.2673578662388449 0.11876065376516595 0.4010327885290284 0.4035215080717938
5 0.44971021758748614 0.895578060764063 0.2946776295999198 0.11876065376516595 0.3634312644139175 0.48292188910057166
6 0.4841512082623082 0.9004411912162839 0.32200742003409205 0.11876065376516595 0.47932818610247674 0.44631505063671917
7 0.521060864333701 0.904273538554096 0.3487315752531836 0.11876065376516595 0.395612152812594 0.526323072295197
8 0.5456151609345231 0.9074982452622079 0.3750486313045222 0.11876065376516595 0.49935425649252985 0.45018550085230125
9 0.5699348240248672 0.9100872355359471 0.40014840068184104 0.11876065376516595 0.4736508573147498 0.5331073899528728
10 0.5991517096159631 0.9125478792740399 0.42404091045823716 0.11876065376516595 0.5201604331695578 0.500182492730372
11 0.6266319061465959 0.9146234834051941 0.44691466960794146 0.11876065376516595 0.510061165145894 0.572285169958889
12 0.6385500852301214 0.9164403890504362 0.4677368896019252 0.11876065376516595 0.5316995888900029 0.55330793141482
13 0.6633550586583775 0.9182171864032889 0.4874581369698185 0.12082221999398376 0.5279033390153414 0.6118339516695077
14 0.6728567131254387 0.919699187807079 0.5058798756642935 0.11988769678130955 0.5884147197433068 0.6092971021758748
15 0.6892710317858216 0.9210488318459842 0.5229700190514388 0.12803168555098768 0.5702757445101774 0.6347698786724155
16 0.6939015341421839 0.9223182593001104 0.5381850997693773 0.1300772084628497 0.6025428657374913 0.6466659981951268
17 0.7103379123633812 0.9235696380226612 0.5526641933219694 0.17341622380427155 0.609862629098566 0.6570560513386143
18 0.7196490524415924 0.924730773087336 0.5659641030783116 0.1655570039105585 0.6087215481800862 0.6766128547077108
19 0.7358608242254088 0.9256753233731073 0.5783294896219794 0.20609445502857718 0.6349182793542566 0.6736187706808383
20 0.7371503058257295 0.9266198736588789 0.5896600822219995 0.2224004812995087 0.6234934322671213 0.7020836257896319
21 0.7491647448109896 0.9275062669206859 0.6003830341923193 0.2551308533039206 0.6544911260403089 0.6859400381028777
22 0.7556983856412314 0.9283445302316252 0.6102095658277349 0.24536648952170864 0.6319823523513487 0.7222821618369599
23 0.7666399278050737 0.9291767772987065 0.6192038503960694 0.24528426752231022 0.6770600621678532 0.6978161034793944
